index,q_1,o_1,q_2,o_2,q_3,o_3,q_4,o_4,q_5,o_5
1,What is a color seen on the Cut Leaf Daisy?,"Yellow,Purple,Red",What is the scientific name for the Cut Leaf Daisy?,"Brachyscome multifida,Daisyus cutleafus,Purpleus daisyus",How tall does the Cut Leaf Daisy grow?,"15 cm,60 cm,1 m",Where is the best place to grow a Cut Leaf Daisy?,"Shady spots,Well-drained soil in full sun,Wet areas",Which animals are attracted to the Cut Leaf Daisy?,"Birds and frogs,Bees and lizards,Butterflies and insects"
2,What is a color seen on the Creeping Boobialla have?,"Purple,Blue,Pink",What is the scientific name for the Creeping Boobialla?,"Brachyscome multifida,Myoporum sp.,Purpleus daisyus",How tall can the Creeping Boobialla grow?,"15 cm,1 m,2 m",Where is the best place to plant Creeping Boobialla?,"Shady areas,Sunny,Well-drained spots,In a water feature",Which animals are attracted to the Creeping Boobialla?,"Bees and butterflies,Birds and lizards,Frogs and insects"
3,What is a color seen on the Fan Flower?,"White,Mauve,Yellow",What is the scientific name for the Fan Flower?,"Brachyscome multifida,Daisyus cutleafus,Scaevola aemula",How tall does the Fan Flower grow?,"15 cm,60 cm,1 m",Where does the Fan Flower grow best?,"In the shade,In full sun,Well-drained soil",Which animals are attracted to the Fan Flower?,"Insects and butterflies,Lizards and bees,Frogs and butterflies"
5,What is a color seen on the Blue Flax?,"Blue,Pink,Yellow",What is the scientific name for the Blue Flax?,"Dianella caerulea,Daisyus cutleafus,Scaevola aemula",How tall does the Blue Flax grow?,"15 cm,45 cm,1 m",Where does the Blue Flax grow best?,"In the shade,In a sunny position,Well-drained soil",Which animals are attracted to the Blue Flax?,"Frogs and insects,Birds and butterflies,Lizards and bees"
6,What is a color seen on the Knobby Club Rush?,"Blue,Green,Pink",What is the scientific name for the  Knobby Club Rush?,"Ficinia nodosa,Daisyus cutleafus,Purpleus daisyus",How tall can the Knobby Club Rush grow?,"15 cm,45 cm,1 m",Where does the Knobby Club Rush grow best?,"In the shade,In a water feature,In full sun",Which animals are attracted to the Knobby Club Rush?,"Birds and frogs,Bees and lizards,Butterflies and insects"
10,What is a color seen on the Sarsaparilla Vine?,"White,Purple,Yellow",What is the scientific name for the Sarsaparilla Vine?,"Brachyscome multifida,Daisyus cutleafus,Hardenbergia sp.",How tall does the Sarsaparilla Vine grow?,"1 m,3 m,5 m",Where is the best place to plant Sarsaparilla Vine?,"In full sun to semi-shade,In wet soil,In shady areas",Which animals are attracted to the Sarsaparilla Vine?,"Bees birds butterflies and insects,Lizards and frogs,Butterflies and bees"
17,What is a color seen on the Thyme Honey Myrtle?,"Pink,Red,Mauve",What is the scientific name for the Thyme Honey Myrtle?,"Brachyscome multifida,Melaleuca thymifolia,Purpleus daisyus",How tall can the Thyme Honey Myrtle grow?,"30 cm,60 m,1 m",What is the ideal sunlight condition for the Thyme Honey Myrtle?,"Shade,Partial shade,Full sun",Which animals are attracted to the Thyme Honey Myrtle?,"Birds and bees,Butterflies and lizards,Insects"
18,What is a color seen on a Banksia?,"Golden,Blue,Pink",What is the scientific name for the Banksia?,"Banksia sp.,Daisyus cutleafus,Purpleus daisyus",How tall can Banksia grow?,"3 m,7 m,10 m",What is the ideal sunlight condition for Banksia?,"Shade,Partial shade,Full sun",Which animal is attracted to the Banksia?,"Birds,Lizards,Frogs"
19,What is a color seen on the Bottlebrush?,"Green,Red,Yellow",What is the scientific name for the Bottlebrush?,"Brachyscome multifida,Daisyus cutleafus,Callistemon sp.",How tall can the Bottlebrush grow?,"2 m,5 m,10 m",What is the ideal sunlight condition for the Bottlebrush?,"Shade,Full sun,Partial shade",Which animals are attracted to the Bottlebrush?,"Birds and insects,Frogs and lizards,Bees and butterflies"
20,What is a color seen on the Grevillea?,"Red,Blue,White",What is the scientific name for the Grevillea?,"Grevillea sp.,Daisyus cutleafus,Purpleus daisyus",How tall can the Grevillea grow?,"2 m,5 m,10 m",What is the ideal sunlight condition for the Grevillea?,"Shade,Partial shade,Full sun",Which animals are attracted to the Grevillea?,"Birds bees and butterflies,Frogs and lizards,Insects and lizards"
21,What is a color seen on the Lilly Pilly?,"Brown,Red,Yellow",What is the scientific name for the Lilly Pilly?,"Brachyscome multifida,Daisyus cutleafus,Syzygium sp.",How tall can the Lilly Pilly grow?,"2 m,5 m,10 m",What is the ideal sunlight condition for the Lilly Pilly?,"Shade,Full sun,Partial shade",Which animals are attracted to the Lilly Pilly?,"Birds and bees,Frogs and lizards,Butterflies and insects"
22,What is a color seen on the Tea Tree?,"Pink,Yellow,Red",What is the scientific name for the Tea Tree?,"Leptospermum sp.,Daisyus cutleafus,Purpleus daisyus",How tall can the Tea Tree grow?,"1 m,2 m,5 m",Does Tea Tree prefer full sun or shade?,"Full sun,Full shade,Partial shade",Which animals are attracted to the Tea Tree?,"Birds and insects,Lizards and frogs,Butterflies and bees"
24,What is a color seen on the Golden Penda?,"Golden,Brown,Blue",What is the scientific name for the Golden Penda?,"Leptospermum sp.,Xanthostemon chrysanthus,Purpleus daisyus",How tall can the Golden Penda grow?,"8 m,2 m,5 m",What is the ideal sunlight condition for the Golden Penda?,"Full sun,Full shade,Partial shade",Which animal is attracted to the Golden Penda?,"Birds,Lizards,Frogs"
27,What is a color seen on the Tulipwood?,"Orange,Pink,White",What is the scientific name for the Tulipwood?,"Brachyscome multifida,Harpulia pendula,Purpleus daisyus",How tall can the Tulipwood grow?,"6 m,8 m,10 m",When does the Tulipwood typically flower?,"Spring and summer,Winter and spring,Summer and autumn",Which animals are attracted to the Tulipwood?,"Birds and bees,Frogs and lizards,Butterflies and insects"
28,What is a color seen on the Wattle?,"Yellow,Pink,White",What is the scientific name for the Wattle?,"Acacia sp.,Daisyus cutleafus,Purpleus daisyus",How tall can the Wattle grow?,"4 m,6 m,8 m",When does the Wattle typically flower?,"Winter and spring, Summer and autumn,Spring and summer",Which animals are attracted to the Wattle?,"Birds butterflies and bees,Frogs and lizards,Insects and butterflies"
